Site,Date,ID,Wind.speed,Direction,Temp,Sunshine,Time,Species,Common.name,Caste,Number,Forage plant,ITD,Hive.Distance,Hive.Density,Buildings,Bee.habitat,FloralUnits.Site,Rail,Total.Water,Building.Vol,ITD.error,Pollen,Pollen sample
MEA,26/05/2021,20210526_MEA_CC_004,3,NE,18,C,15:15:00,Bombus pascuorum,Common carder,W,1,Teucrium fructicans,7.851237139,850,1,26.97,19.29,2038,1.31,2.17,5,3.98980564,N,N
BG,26/05/2021,20210526_BG_CC_007,2,NE,17,C,11:40:00,Bombus pascuorum,Common carder,W,1,Symphytum officinale,7.916087934,300,1,21.53,17.83,6024,2.79,6.61,4,2.049621085,N,N
Christ,31/05/2021,20210531_Christ_Early_004,5,SW,22,S,14:55:00,Bombus pratorum,Early,M,1,Nepeta,2.914624173,345,7,49.59,4.39,8707,0.43,11.93,19,6.365820844,N,N
Christ,31/05/2021,20210531_Christ_Early_005,5,SW,22,S,14:55:00,Bombus pratorum,Early,M,1,Nepeta,5.758535687,345,7,49.59,4.39,8707,0.43,11.93,19,5.439735363,N,N
BG,23/06/2021,20210623_BG_Early_018,0,,32,S,12:20:00,Bombus pratorum,Early,W,1,Symphytum,3.563175045,300,1,21.53,17.83,6024,2.79,6.61,4,3.86083095,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_030,3,S,25,S,14:20:00,Bombus pratorum,Early,W,1,Nepeta,5.086193956,770,1,39.03,9.84,2450,1.33,0,9,5.233316609,N,N
OPMead,22/06/2021,20210622_OP_Buff_005,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,M,1,Geranium,3.669289044,530,1,24.47,18.18,2494,6.03,6.64,7,4.892316428,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_031,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,M,1,Teucrium fruticans ,3.733102767,850,1,26.97,19.29,2038,1.31,2.17,5,9.226100204,N,N
Bank,23/06/2021,20210623_OPBank_Buff_005,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,M,1,Malva sylvestris,4.266996424,535,2,31.19,19.93,2008,3.35,6.61,10,3.299774933,N,N
OPMead,05/07/2021,20210705_OP_Buff_014,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,M,1,Veronica spicata,4.305230043,530,1,24.47,18.18,2494,6.03,6.64,7,5.521128583,N,N
Leon,05/06/2021,20210605_LeonMRR_Buff_029,3,S,25,S,14:20:00,Bombus terrestris,Buff tail,M,1,Nepeta,4.387394153,770,1,39.03,9.84,2450,1.33,0,9,5.11818879,N,N
OPMead,05/07/2021,20210705_OP_Buff_010,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,M,1,Veronica spicata,4.916697464,530,1,24.47,18.18,2494,6.03,6.64,7,3.956939918,N,N
Leon,22/06/2021,20210622_Leon_Buff_015,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,M,1,Nepeta,5.147136057,770,1,39.03,9.84,2450,1.33,0,9,5.461558677,N,N
OPMead,22/06/2021,20210622_OP_Buff_003,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,M,1,Valeriana officinalis,5.159403934,530,1,24.47,18.18,2494,6.03,6.64,7,4.303521026,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_018,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,M,1,Nepeta,5.222853731,345,7,49.59,4.39,8707,0.43,11.93,19,1.885723459,N,N
Bunhill,08/06/2021,20210608_Bunhill_Buff_005,3,SW,22,S,10:20:00,Bombus terrestris,Buff tail,M,1,Geranium,5.352038252,535,2,45.37,8.43,1754,0.26,0.52,15,4.822801666,N,N
OPMead,05/07/2021,20210705_OP_Buff_007,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,M,1,Veronica spicata,5.372620553,530,1,24.47,18.18,2494,6.03,6.64,7,3.488365617,N,N
OPMead,05/07/2021,20210705_OP_Buff_005,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,M,1,Veronica spicata,5.60624519,530,1,24.47,18.18,2494,6.03,6.64,7,2.820316944,N,N
Leon,22/06/2021,20210622_Leon_Buff_012,2,E,19,C,14:57:00,Bombus terrestris,Buff tail,M,1,Nepeta,5.766302521,770,1,39.03,9.84,2450,1.33,0,9,5.863719429,N,N
Christ,08/06/2021,20210608_ChristMRR_Buff_002,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,M,1,Nepeta,5.769886972,345,7,49.59,4.39,8707,0.43,11.93,19,1.043486175,N,N
Christ,28/05/2021,20210528_Christ_Buff_001,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,M,1,Nepeta,6.268491953,345,7,49.59,4.39,8707,0.43,11.93,19,4.439638801,NA,NA
MEA,30/06/2021,20210630_MEA_Buff_011,3,NW,18,C,13:01:00,Bombus terrestris,Buff tail,M,1,Stachys byzantina,6.635719316,850,1,26.97,19.29,2038,1.31,2.17,5,2.824360694,NA,N
Christ,08/06/2021,20210608_ChristMRR_Buff_001,3,SW,24,S,14:06:00,Bombus terrestris,Buff tail,M,1,Nepeta,6.850624506,345,7,49.59,4.39,8707,0.43,11.93,19,2.308021449,N,N
Christ,28/05/2021,20210528_Christ_Buff_002,3,NE,21,C,14:33:00,Bombus terrestris,Buff tail,M,1,Nepeta,7.046111214,345,7,39.03,9.84,8707,0.43,11.93,19,3.298738537,NA,NA
OPMead,05/07/2021,20210705_OP_Buff_015,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,Q,1,Veronica spicata,4.375076495,530,1,24.47,18.18,2494,6.03,6.64,7,7.62367474,N,N
OPMead,05/07/2021,20210705_OP_Buff_011,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,Q,1,Veronica spicata,7.60819416,530,1,24.47,18.18,2494,6.03,6.64,7,2.35947226,N,N
Bank,23/06/2021,20210623_OPBank_Buff_001,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,Q,1,Trifolium pratense,8.547334274,535,2,31.19,19.93,2008,3.35,6.61,10,1.609486192,N,N
OPMead,05/07/2021,20210705_OP_Buff_016,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,Q,1,Veronica spicata,9.051458699,530,1,24.47,18.18,2494,6.03,6.64,7,1.996287184,N,N
OPMead,22/06/2021,20210622_OP_Buff_001,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,Q,1,Echinacea,9.726650718,530,1,24.47,18.18,2494,6.03,6.64,7,0.988797923,N,N
OPMead,05/07/2021,20210705_OP_Buff_012,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,Q,1,Veronica spicata,12.38642616,530,1,24.47,18.18,2494,6.03,6.64,7,1.904096672,Y,N
MEA,30/06/2021,20210630_MEA_Buff_007,3,NW,18,C,13:01:00,Bombus terrestris,Buff tail,W,1,Stachys byzantina,3.117053838,850,1,26.97,19.29,2038,1.31,2.17,5,4.413403555,N,N
OPMead,05/07/2021,20210705_OP_Buff_017,3,SE,23,S,10:18:00,Bombus terrestris,Buff tail,W,1,Veronica spicata,3.586258369,530,1,24.47,18.18,2494,6.03,6.64,7,3.83598031,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_008,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,3.668969864,850,1,26.97,19.29,2038,1.31,2.17,5,2.684365957,N,N
MEA,09/06/2021,20210609_MEAMRR_Buff_011,5,SW,26,S,10:16:00,Bombus terrestris,Buff tail,W,1,Teucrium fruticans ,3.87408038,850,1,26.97,19.29,2038,1.31,2.17,5,3.195446968,N,N
BG,30/06/2021,20210630_BG_Buff_010,4,NW,18,C,10:34:00,Bombus terrestris,Buff tail,W,1,Lavender,3.887882589,300,1,21.53,17.83,6024,2.79,6.61,4,5.120018103,N,N
BG,23/06/2021,20210623_BG_Buff_004,0,,32,S,12:20:00,Bombus terrestris,Buff tail,W,1,Lavender,3.953216561,300,1,21.53,17.83,6024,2.79,6.61,4,6.260405157,N,N
OPMead,22/06/2021,20210622_OP_Buff_006,3,E,23,S,11:06:00,Bombus terrestris,Buff tail,W,1,Scabious,4.026230492,530,1,24.47,18.18,2494,6.03,6.64,7,5.577304036,N,N
Bank,23/06/2021,20210623_OPBank_Buff_011,6,E,33,S,10:04:00,Bombus terrestris,Buff tail,W,1,Eschscholzia californica,4.107443079,535,2,31.19,19.93,2008,3.35,6.61,10,3.311420328,Y,Y
