Site,Buildings,Impervious ,Total.building.Imp,Rail,Amenity,Flower.rich,Wild,Ext.Greenroof,Int.Greenroof,Allotment,Wood,Street.trees,Tidal.water,Freshwater,Total.Water,Building.Vol,Hive.Distance,Hive.Density,Bee.habitat,Floral.Units
Christ,49.59,32.93,82.53,0.43,2.03,1.1,0.18,0.8,0.27,0,0,0.73,5.86,6.06,11.93,19,345,7,4.39,8707
Beech,55.29,33.38,88.67,0.26,4.95,1.04,0.26,0.52,0.54,0.04,1.04,2.15,0,0.52,0.52,19,320,5,8.4,2280
Bunhill,45.37,42.5,87.87,0.26,4.79,0.94,0.61,1.15,0.61,0.04,0.29,2.92,0,0.52,0.52,15,535,2,8.43,1754
Leonard,39.03,46.53,85.56,1.33,7.22,0.65,1.19,0.59,0,0.14,0.04,2.68,0,0,0,9,770,1,9.84,2450
BG,21.53,48.93,70.45,2.79,9.84,2.77,2.28,0.04,0,0,2.9,2.3,0,6.61,6.61,4,300,1,17.83,6024
OPMead,24.47,41.31,65.78,6.03,10.65,2.9,2.44,0,0,0.6,1.59,3.37,0,6.64,6.64,7,530,1,18.18,2494
MEA,26.97,44.9,71.87,1.31,15.3,0.58,1.01,0.33,0,0.22,1.85,5.35,0,2.17,2.17,5,850,1,19.29,2038
Bank,31.19,37.06,68.25,3.35,11.12,2.77,3.13,0.48,0,0,2.43,1.86,0,6.61,6.61,10,480,1,19.93,2008
