Location,Site,Date,Method,Visit,Wind.speed,Wind.direction,Temp,Sunshine,Time,Species,Species.1,Common.name,Caste,Number,Forage.plant,Pollen,ID,ITD,Hive.Distance,Hive.Density,Buildings,Impervious,Bee.habitat,Floral.Units,Ex.Nests.BeeHabitat,Rail,Total.Water,Building.Vol,ITD.error
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,1,Eschscholzia californica,Y,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,3,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,2,Eschscholzia californica,N,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,2,Eschscholzia californica,N,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,3,Eschscholzia californica,N,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus terrestris,Buff,Buff tail,W,5,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus terrestris,Buff,Buff tail,W,7,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus terrestris,Buff,Buff tail,W,1,Achillea millefolium,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus terrestris,Buff,Buff tail,W,1,Echium vulgare,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,09/07/2021,Transect,4,5,SW,30,C,11:43:00,Bombus terrestris,Buff,Buff tail,W,2,Echium vulgare,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus pascuorum,Ccarder,Common carder,W,1,Achillea millefolium,Y,20210629_Bank_CC_009,3.183838899,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,4.469525602
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus pascuorum,Ccarder,Common carder,W,1,Trifolium pratense,Y,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus pascuorum,Ccarder,Common carder,W,1,Trifolium pratense,N,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Leontodon,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Achillea millefolium,Y,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Coreopsis,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Leontodon,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Apis mellifera,Honey,Honey,W,1,Coreopsis,N,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Apis mellifera,Honey,Honey,W,5,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,09/07/2021,Transect,4,3,SW,30,C,11:43:00,Apis mellifera,Honey,Honey,W,1,Achillea millefolium,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,09/07/2021,Transect,4,3,SW,30,C,11:43:00,Apis mellifera,Honey,Honey,W,2,Eschscholzia californica,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,09/07/2021,Transect,4,3,SW,30,C,11:43:00,Apis mellifera,Honey,Honey,W,1,Malva neglecta,NA,NA,NA,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,NA
East,Bank,23/06/2021,Transect,2,6,E,33,S,10:04:00,Bombus lapidarius,Red,Red tail,W,1,Eschscholzia californica,N,20210623_OPBank_Red_007,3.251608696,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,3.094562366
East,Bank,29/06/2021,Transect,3,4,N,23,C,13:05:00,Bombus lapidarius,Red,Red tail,W,1,Trifolium pratense,Y,20210629_Bank_Red_008,4.480004996,480,1,31.19,37.06,19.93,2008,14,3.35,6.61,10,1.343926468
